customerid,customer_name,country,state,gender,dob,subscription_start_date,subscription_type,renewal_date,plan_type,contract_type,cancellation_date,cancellation_reason,monthly_charges,cltv,churn_score,churn_flag,complaint_count,avg_csat,escalation_count,latest_complaint_date,tenure_days,tenure_months,interests,pincode
0021-IKXGC,vishakha,India,Rajasthan,Female,2000-09-02,2021-07-07,Paid,2025-07-07,Standard,Annual,,,13.99,840,27,0,0,,0,,1881,61.8,,
0022-TCJCI,raghvendra,India,Telangana,Male,1983-12-30,2023-09-14,Referral,2024-09-14,Basic,Monthly,2024-09-14,Forgot to cancel trial,16.99,42,99,1,2,50.0,YN,2024-09-14,1082,35.55,,
0023-HGHWL,rishabh,India,Uttar Pradesh,Men,1991-05-14,2020-06-23,Organic,2025-06-23,Premium,Annual,,,22.99,1955,7,0,0,,0,,2260,74.25,,
0023-UYUPN,sudevi,India,Maharashtra,Women,1977-10-06,2022-12-31,Paid,2025-12-31,Standard,Monthly,,,13.99,790,47,0,0,,0,,1339,43.99,,
CUST1021,Arjun Reddy,India,Meghalaya,Female,1989-11-07,2022-08-10,Referral,2024-08-10,Basic,Monthly,2024-10-16,Switched to competitor,14.3,166,70,1,1,17.32,0,2024-09-12,1482,48.69,,
CUST1022,Riya Singh,India,Meghalaya,Female,1993-08-11,2021-11-15,Organic,2023-11-15,Premium,Annual,,,22.18,546,49,0,0,,0,,1750,57.49,,
CUST1023,Riya Reddy,India,Delhi,Female,1978-08-09,2022-12-20,Organic,2025-12-20,Basic,Monthly,,,7.42,217,32,0,0,,0,,1350,44.35,movie,
CUST1024,Priya Yadav,India,Maharashtra,Men,1999-06-08,2021-07-23,Organic,2025-07-23,Premium,Annual,,,24.72,1808,3,0,0,,0,,1865,61.27,,
CUST1025,Nikhil Yadav,India,Meghalaya,Female,1992-11-01,2021-11-28,Organic,2023-11-28,Premium,Annual,,,22.58,513,59,0,0,,0,,1737,57.07,,
CUST1026,Anaya Singh,India,Delhi,Female,1986-03-02,2023-02-10,Organic,2025-02-10,Standard,Monthly,,,13.78,629,80,0,0,,0,,1298,42.64,job,
CUST1027,Ishaan Shaikh,India,Meghalaya,Female,1993-06-27,2022-03-17,Referral,2024-03-17,Basic,Monthly,2024-05-23,Switched to competitor,13.51,177,74,1,1,17.99,0,2024-04-19,1628,53.49,,
CUST1028,Ishaan Gupta,India,Karnataka,Male,1995-08-30,2020-10-02,Paid,2024-10-02,Premium,Annual,2024-11-11,Switched to competitor,14.51,1222,88,1,2,22.21,0,2024-10-29,2159,70.93,,
CUST1029,Zoya Deshmukh,Nepal,Kathmandu,Male,1993-09-13,2022-03-30,Organic,2025-03-30,Basic,Annual,,,6.98,333,39,0,0,,0,,1615,53.06,,
CUST1030,Meera Das,Nepal,Kathmandu,Male,1993-10-15,2022-09-07,Organic,2025-09-07,Basic,Annual,,,7.6,331,45,0,0,,0,,1454,47.77,,
CUST1031,Rahul Das,India,Uttar Pradesh,Men,1992-01-15,2020-01-25,Organic,2025-01-24,Premium,Annual,,,22.61,1807,0,0,0,,0,,2410,79.18,,
CUST1032,Manav Patel,India,Uttar Pradesh,Men,1989-09-17,2020-05-15,Organic,2025-05-15,Premium,Annual,,,24.57,1935,1,0,0,,0,,2299,75.53,,
CUST1033,Varun Joshi,Nepal,Kathmandu,Male,1992-10-16,2021-12-09,Organic,2024-12-09,Basic,Annual,,,7.53,375,42,0,0,,0,,1726,56.71,,
CUST1034,Rahul Mehta,India,Meghalaya,Female,1978-07-05,2021-08-03,Referral,2024-08-03,Basic,Monthly,2024-09-18,Not enough content,9.56,239,82,1,0,21.82,0,2024-09-04,1854,60.91,,
CUST1035,Rohan Joshi,,Delhi,Women,1987-05-20,2022-07-29,Paid,2025-07-29,Standard,Annual,,,19.83,734,20,0,1,89.01,0,2025-04-28,1494,49.08,,
CUST1036,Arjun Gupta,India,Meghalaya,Female,1994-11-02,2022-05-19,Organic,2024-05-18,Premium,Annual,,,18.58,508,60,0,0,,0,,1565,51.42,,
CUST1037,Arjun Verma,India,Rajasthan,Male,1997-03-18,2019-09-03,Organic,2024-09-03,Premium,Annual,,,21.87,1672,5,0,0,,0,,2554,83.91,,
CUST1038,Zoya Nair,India,Nagaland,Male,2002-02-21,2019-02-19,Paid,2025-02-19,Premium,Annual,,,23.62,1831,14,0,1,,0,,2750,90.35,,
CUST1039,Shreya Singh,India,Delhi,Female,1987-11-12,2023-10-09,Organic,2025-10-09,Standard,Monthly,,,14.75,626,51,0,0,,0,,1057,34.73,job,
CUST1040,Arjun Shaikh,India,Delhi,Female,1984-09-01,2023-09-12,Organic,2025-09-12,Standard,Monthly,,,14.61,700,44,0,0,,0,,1084,35.61,job,
CUST1041,Sameer Das,India,Delhi,Female,1989-01-28,2023-05-30,Referral,2024-05-29,Standard,Monthly,2024-07-22,Too expensive,15.04,173,83,1,0,17.58,0,2024-06-13,1189,39.06,drama,
CUST1042,Anaya Patel,Nepal,Kathmandu,Male,1995-01-10,2022-06-09,Organic,2025-06-09,Basic,Annual,,,6.73,339,50,0,1,,0,,1544,50.73,,
CUST1043,Zoya Shaikh,India,Delhi,Female,1977-08-05,2022-11-18,Organic,2025-11-18,Basic,Monthly,,,6.81,229,39,0,0,,0,,1382,45.4,movie,
CUST1044,Rahul Reddy,India,Maharashtra,Male,1982-08-02,2021-05-10,Referral,2025-05-10,Standard,Annual,,,13.61,575,17,0,0,,0,,1939,63.7,travel,
CUST1045,Aditya Deshmukh,India,Meghalaya,Female,1993-02-26,2022-01-26,Organic,2024-01-26,Premium,Annual,,,22.17,521,70,0,0,,0,,1678,55.13,,
CUST1046,Kavya Singh,India,Delhi,Female,1990-05-03,2023-06-03,Referral,2024-06-02,Standard,Monthly,2024-07-26,Too expensive,12.46,174,87,1,1,13.3,0,2024-06-17,1185,38.93,drama,
CUST1047,Riya Deshmukh,Nepal,Kathmandu,Male,1991-11-29,2022-09-02,Organic,2025-09-02,Basic,Annual,,,6.22,308,40,0,0,,0,,1459,47.93,,
CUST1048,Riya Verma,India,Maharashtra,Women,1976-11-05,2022-10-04,Paid,2025-10-04,Standard,Monthly,,,13.21,818,42,0,0,,0,,1427,46.88,,
CUST1049,Zoya Shaikh,India,Rajasthan,Female,1998-12-16,2021-06-02,Paid,2025-06-02,Standard,Annual,,,14.79,942,31,0,0,,0,,1916,62.95,,
CUST1050,Sana Joshi,India,Delhi,Female,1988-08-03,2023-02-05,Organic,2025-02-05,Standard,Monthly,,,12.8,688,56,0,1,,0,,1303,42.81,job,
CUST1051,Varun Nair,Nepal,Kathmandu,Male,1992-08-30,2022-06-19,Organic,2025-06-19,Basic,Annual,,,6.16,346,38,0,0,,0,,1534,50.4,,
CUST1052,Aditya Joshi,,Kathmandu,Women,1985-01-24,2023-08-05,Organic,2024-08-05,Standard,Monthly,,,14.66,255,32,0,0,,0,,1122,36.86,,
CUST1053,Varun Mehta,Nepal,Kathmandu,Male,1993-07-15,2022-03-15,Organic,2025-03-15,Basic,Annual,,,7.08,297,25,0,0,,0,,1630,53.55,,
CUST1054,Tanvi Gupta,India,Maharashtra,Men,1997-11-22,2021-07-14,Organic,2025-07-14,Premium,Annual,,,23.77,1666,15,0,0,,0,,1874,61.57,,
CUST1055,Diya Verma,India,Karnataka,Male,1993-09-26,2021-01-08,Paid,2025-01-08,Premium,Annual,2025-02-17,Switched to competitor,12.22,1095,93,1,3,19.37,0,2025-02-04,2061,67.71,,
CUST1056,Rahul Yadav,India,Rajasthan,Male,2000-03-23,2019-09-22,Organic,2024-09-22,Premium,Annual,,,21.81,1625,15,0,0,,0,,2535,83.29,,
CUST1057,Shreya Sharma,India,Uttar Pradesh,Men,1977-09-05,2020-01-01,Paid,2026-01-01,Premium,Annual,,,83.87,1983,5,0,0,,0,,2434,79.97,,
CUST1058,Shreya Verma,India,Meghalaya,Female,1994-05-08,2022-05-28,Referral,2024-05-28,Basic,Monthly,2024-08-03,Switched to competitor,13.85,145,77,1,1,29.53,0,2024-06-30,1556,51.12,,
CUST1059,Priya Patel,India,Maharashtra,Male,1980-12-25,2020-12-07,Referral,2024-12-07,Standard,Annual,,,14.45,708,1,0,0,,0,,2093,68.76,travel,
CUST1060,Sameer Joshi,India,Meghalaya,Female,1975-07-17,2022-01-20,Referral,2025-01-20,Basic,Monthly,2025-03-07,Not enough content,8.35,243,70,1,1,24.36,0,2025-02-21,1684,55.33,,
CUST1061,Kavya Sharma,India,Maharashtra,Women,1978-07-13,2023-02-04,Paid,2026-02-04,Standard,Monthly,,,13.74,740,39,0,0,,0,,1304,42.84,,
CUST1062,Rahul Deshmukh,India,Delhi,Female,1980-06-03,2022-09-26,Organic,2025-09-26,Basic,Monthly,,,6.76,218,31,0,0,,0,,1435,47.15,movie,
CUST1063,Arjun Reddy,,Kathmandu,Women,1983-03-16,2023-11-27,Organic,2024-11-27,Standard,Monthly,,,14.1,249,38,0,0,,0,,1008,33.12,,
CUST1064,Arjun Mehta,Nepal,Kathmandu,Male,1991-09-17,2021-12-12,Organic,2024-12-12,Basic,Annual,,,7.6,347,41,0,0,,0,,1723,56.61,,
CUST1065,Manav Yadav,India,Rajasthan,Female,2002-09-06,2021-07-25,Paid,2025-07-25,Standard,Annual,,,13.29,855,17,0,0,,0,,1863,61.21,,
CUST1066,Sana Mehta,India,Nagaland,Male,2002-07-13,2019-10-29,Paid,2025-10-29,Premium,Annual,,,24.43,1744,5,0,0,,0,,2498,82.07,,
CUST1067,Tanvi Patel,India,Maharashtra,Male,1983-11-04,2021-05-14,Referral,2025-05-14,Standard,Annual,,,13.63,579,3,0,1,,0,,1935,63.57,travel,
CUST1068,Tanvi Nair,India,Rajasthan,Male,1998-04-28,2019-10-28,Organic,2024-10-28,Premium,Annual,,,25.34,1630,13,0,1,,0,,2499,82.1,,
CUST1069,Diya Mehta,India,Meghalaya,Female,1996-06-09,2022-04-28,Organic,2024-04-27,Premium,Annual,,,19.88,553,65,0,0,,0,,1586,52.11,,
CUST1070,Diya Gupta,India,Maharashtra,Male,1983-08-10,2021-04-11,Referral,2025-04-11,Standard,Annual,,,13.13,544,2,0,0,,0,,1968,64.66,travel,
CUST1071,Kavya Deshmukh,Nepal,Kathmandu,Male,1994-04-03,2022-01-07,Organic,2025-01-07,Basic,Annual,,,6.26,361,42,0,0,,0,,1697,55.75,,
CUST1072,Kavya Joshi,India,Delhi,Female,1988-09-02,2022-11-14,Referral,2023-11-14,Standard,Monthly,2024-01-07,Too expensive,14.33,205,85,1,1,18.35,0,2023-11-29,1386,45.54,drama,
CUST1073,Aanya Patel,India,Karnataka,Male,1996-01-18,2020-10-14,Paid,2024-10-14,Premium,Annual,2024-11-23,Switched to competitor,13.13,1238,89,1,2,45.49,0,2024-11-10,2147,70.54,,
CUST1074,Tanvi Sharma,,Kathmandu,Women,1984-08-04,2023-11-22,Organic,2024-11-22,Standard,Monthly,,,12.98,232,37,0,1,,0,,1013,33.28,,
CUST1075,Kavya Das,India,Meghalaya,Female,1978-08-26,2021-11-05,Referral,2024-11-05,Basic,Monthly,2024-12-21,Not enough content,8.1,250,83,1,2,38.91,0,2024-12-07,1760,57.82,,
CUST1076,Zoya Shaikh,India,Delhi,Female,1990-03-16,2022-11-02,Referral,2023-11-02,Standard,Monthly,2023-12-26,Too expensive,14.36,212,96,1,1,19.53,0,2023-11-17,1398,45.93,drama,
CUST1077,Aditya Reddy,India,Maharashtra,Male,1984-03-22,2021-05-15,Referral,2025-05-15,Standard,Annual,,,12.59,606,13,0,1,,0,,1934,63.54,travel,
CUST1078,Sana Mehta,India,Meghalaya,Female,1978-07-08,2021-05-29,Referral,2024-05-29,Basic,Monthly,2024-07-14,Not enough content,8.21,252,81,1,2,12.22,0,2024-06-30,1920,63.08,,
CUST1079,Aanya Patel,,Telangana,Female,2006-12-09,2020-08-22,Organic,2025-08-22,Standard,Annual,,,14.57,1117,18,0,0,,0,,2200,72.28,,
CUST1080,Kavya Shaikh,India,Meghalaya,Female,1996-10-06,2021-10-11,Organic,2023-10-11,Premium,Annual,,,19.66,497,62,0,1,,0,,1785,58.64,,
CUST1081,Kavya Yadav,India,Nagaland,Male,2003-11-30,2019-09-15,Paid,2025-09-15,Premium,Annual,,,22.95,1486,5,0,0,,0,,2542,83.52,,
CUST1082,Rohan Mehta,India,Maharashtra,Women,1976-09-27,2022-09-17,Paid,2025-09-17,Standard,Monthly,,,14.89,819,42,0,1,,0,,1444,47.44,,
CUST1083,Shreya Deshmukh,India,Meghalaya,Female,1990-10-17,2022-12-28,Referral,2024-12-28,Basic,Monthly,2025-03-05,Switched to competitor,14.43,145,74,1,1,49.46,0,2025-01-30,1342,44.09,,
CUST1084,Rohan Deshmukh,India,Rajasthan,Male,1996-11-19,2020-08-06,Organic,2025-08-07,Premium,Annual,,,23.1,1891,11,0,0,,0,,2216,72.8,,
CUST1085,Meera Sharma,Nepal,Kathmandu,Male,1994-11-12,2022-04-09,Organic,2025-04-09,Basic,Annual,,,7.07,293,37,0,1,,0,,1605,52.73,,
CUST1086,Aditya Reddy,India,Maharashtra,Men,1998-06-14,2021-10-26,Organic,2025-10-26,Premium,Annual,,,22.85,1840,21,0,1,,0,,1770,58.15,,
CUST1087,Zoya Verma,India,Uttar Pradesh,Men,1991-08-20,2020-04-16,Organic,2025-04-16,Premium,Annual,,,21.92,1705,17,0,0,,0,,2328,76.48,,
CUST1088,Aditya Gupta,,Delhi,Women,1991-02-15,2022-03-21,Paid,2025-03-21,Standard,Annual,,,19.21,694,25,0,1,80.63,0,2024-12-19,1624,53.36,,
CUST1089,Nikhil Shaikh,India,Karnataka,Male,1994-12-15,2020-08-17,Paid,2024-08-17,Premium,Annual,2024-09-26,Switched to competitor,11.9,1260,92,1,1,30.51,0,2024-09-13,2205,72.44,,
CUST1090,Nikhil Verma,India,Telangana,Male,1981-10-03,2023-05-27,Referral,2024-05-27,Basic,Monthly,2024-05-27,Forgot to cancel trial,16.14,100,100,1,2,55.65,0,2024-05-27,1192,39.16,,
CUST1091,Shreya Mehta,India,Rajasthan,Male,1997-01-29,2020-07-24,Organic,2025-07-25,Premium,Annual,,,21.37,2058,0,0,1,,0,,2229,73.23,,
CUST1092,Riya Joshi,India,Delhi,Female,1986-07-06,2023-08-10,Organic,2025-08-10,Standard,Monthly,,,12.43,574,56,0,1,,0,,1117,36.7,job,
CUST1093,Sameer Mehta,India,Rajasthan,Male,1999-01-16,2020-05-03,Organic,2025-05-04,Premium,Annual,,,22.76,1615,7,0,1,,0,,2311,75.93,,
CUST1094,Riya Patel,India,Karnataka,Female,1980-03-07,2022-09-21,Referral,2023-09-22,Standard,Monthly,2023-11-06,Poor streaming quality,8.57,238,81,1,1,23.18,0,2023-10-16,1440,47.31,,
CUST1095,Nikhil Mehta,India,Maharashtra,Male,1984-03-28,2020-11-01,Referral,2024-11-01,Standard,Annual,,,13.91,680,11,0,0,,0,,2129,69.95,travel,
CUST1096,Anaya Verma,India,Maharashtra,Men,1998-09-30,2022-01-13,Organic,2026-01-13,Premium,Annual,,,21.55,1823,14,0,1,,0,,1691,55.56,,
CUST1097,Priya Shaikh,India,Maharashtra,Male,1981-08-08,2021-04-03,Referral,2025-04-03,Standard,Annual,,,15.53,582,8,0,0,,0,,1976,64.92,travel,
CUST1098,Diya Sharma,India,Maharashtra,Male,1982-10-07,2020-09-29,Referral,2024-09-29,Standard,Annual,,,14.51,579,7,0,0,,0,,2162,71.03,travel,
CUST1099,Aditya Sharma,India,Delhi,Female,1979-03-31,2022-11-20,Organic,2025-11-20,Basic,Monthly,,,6.76,228,31,0,0,,0,,1380,45.34,movie,
CUST1100,Aanya Verma,India,Rajasthan,Male,2001-06-14,2019-12-19,Organic,2024-12-19,Premium,Annual,,,22.05,2029,0,0,0,,0,,2447,80.39,,
CUST1101,Riya Patel,India,Maharashtra,Men,1996-11-12,2022-03-14,Organic,2026-03-14,Premium,Annual,,,21.51,1600,12,0,0,,0,,1631,53.59,,
CUST1102,Aarav Sharma,India,Uttar Pradesh,Men,1981-05-07,2020-04-07,Paid,2026-04-08,Premium,Annual,,,102.43,1920,2,0,0,,0,,2337,76.78,,
CUST1103,Varun Singh,India,Nagaland,Male,2004-02-08,2019-04-22,Paid,2025-04-22,Premium,Annual,,,23.02,1965,7,0,0,,0,,2688,88.31,,
CUST1104,Diya Mehta,India,Meghalaya,Female,1994-04-23,2022-09-10,Referral,2024-09-10,Basic,Monthly,2024-11-16,Switched to competitor,12.4,175,70,1,0,32.31,0,2024-10-13,1451,47.67,,
CUST1105,Manav Singh,India,Rajasthan,Male,1996-11-07,2020-06-25,Organic,2025-06-26,Premium,Annual,,,22.21,1588,0,0,0,,0,,2258,74.18,,
CUST1106,Varun Shaikh,India,Meghalaya,Female,1977-08-06,2021-04-19,Referral,2024-04-19,Basic,Monthly,2024-06-04,Not enough content,8.24,255,78,1,1,31.07,0,2024-05-21,1960,64.39,,
CUST1107,Manav Patel,Nepal,Kathmandu,Male,1991-08-01,2022-01-25,Organic,2025-01-25,Basic,Annual,,,6.72,304,35,0,1,,0,,1679,55.16,,
CUST1108,Riya Mehta,India,Rajasthan,Male,1998-12-18,2020-06-02,Organic,2025-06-03,Premium,Annual,,,21.46,1773,0,0,0,,0,,2281,74.94,,
CUST1109,Manav Joshi,India,Meghalaya,Female,1993-01-23,2023-02-20,Referral,2025-02-20,Basic,Monthly,2025-04-28,Switched to competitor,13.78,147,88,1,1,39.96,0,2025-03-25,1288,42.32,,
CUST1110,Aditya Yadav,India,Telangana,Male,1982-09-23,2023-09-11,Referral,2024-09-11,Basic,Monthly,2024-09-11,Forgot to cancel trial,16.96,100,89,1,2,59.0,0,2024-09-11,1085,35.65,,
CUST1111,Aanya Nair,India,Uttar Pradesh,Men,1993-06-14,2020-05-22,Organic,2025-05-22,Premium,Annual,,,21.74,1782,3,0,0,,0,,2292,75.3,,
CUST1112,Rahul Patel,Nepal,Kathmandu,Male,1993-12-03,2022-01-14,Organic,2025-01-14,Basic,Annual,,,6.89,343,27,0,1,,0,,1690,55.52,,
CUST1113,Sana Deshmukh,India,Karnataka,Female,1981-06-08,2022-11-15,Referral,2023-11-16,Standard,Monthly,2023-12-31,Poor streaming quality,7.88,272,79,1,0,29.82,0,2023-12-10,1385,45.5,,
CUST1114,Anaya Khan,India,Uttar Pradesh,Men,1992-12-10,2020-07-24,Organic,2025-07-24,Premium,Annual,,,22.13,1730,6,0,0,,0,,2229,73.23,,
CUST1115,Rahul Singh,India,Nagaland,Male,2001-01-08,2018-12-22,Paid,2024-12-22,Premium,Annual,,,24.41,1817,2,0,0,,0,,2809,92.29,,
CUST1116,Priya Mehta,India,Karnataka,Male,1993-08-22,2020-08-19,Paid,2024-08-19,Premium,Annual,2024-09-28,Switched to competitor,13.58,1207,95,1,1,32.8,0,2024-09-15,2203,72.38,,
CUST1117,Aarav Sharma,India,Uttar Pradesh,Men,1993-08-20,2020-07-19,Organic,2025-07-19,Premium,Annual,,,22.34,1676,5,0,1,,0,,2234,73.4,,
CUST1118,Sana Das,India,Meghalaya,Female,1994-05-27,2022-10-19,Referral,2024-10-19,Basic,Monthly,2024-12-25,Switched to competitor,11.93,177,78,1,1,44.37,0,2024-11-21,1412,46.39,,
CUST1119,Kavya Yadav,India,Uttar Pradesh,Men,1993-02-24,2020-02-20,Organic,2025-02-19,Premium,Annual,,,20.85,1863,9,0,0,,0,,2384,78.32,,
CUST1120,Riya Yadav,India,Uttar Pradesh,Men,1992-08-09,2020-05-25,Organic,2025-05-25,Premium,Annual,,,24.21,1832,0,0,0,,0,,2289,75.2,,
CUST1121,Rahul Khan,,Telangana,Female,2004-06-15,2021-03-22,Organic,2026-03-22,Standard,Annual,,,15.33,943,26,0,0,,0,,1988,65.31,,
CUST1122,Kavya Patel,India,Karnataka,Female,1981-08-17,2022-12-18,Referral,2023-12-19,Standard,Monthly,2024-02-02,Poor streaming quality,8.05,285,78,1,2,41.25,0,2024-01-12,1352,44.42,,
CUST1123,Rohan Sharma,,Telangana,Female,2005-04-16,2020-11-17,Organic,2025-11-17,Standard,Annual,,,15.55,889,23,0,1,,0,,2113,69.42,,
CUST1124,Sana Sharma,India,Meghalaya,Female,1990-07-02,2022-10-26,Referral,2024-10-26,Basic,Monthly,2025-01-01,Switched to competitor,12.04,171,69,1,1,28.31,0,2024-11-28,1405,46.16,,
CUST1125,Zoya Mehta,India,Delhi,Female,1977-06-03,2023-01-31,Organic,2026-01-31,Basic,Monthly,,,7.58,184,39,0,0,,0,,1308,42.97,movie,
CUST1126,Anaya Mehta,,Delhi,Women,1988-04-28,2022-03-07,Paid,2025-03-07,Standard,Annual,,,16.48,680,19,0,1,88.67,0,2024-12-05,1638,53.82,,
CUST1127,Sameer Sharma,India,Rajasthan,Female,1999-02-17,2021-07-04,Paid,2025-07-04,Standard,Annual,,,14.9,859,37,0,0,,0,,1884,61.9,,
CUST1128,Nikhil Das,India,Maharashtra,Male,1981-01-17,2021-06-13,Referral,2025-06-13,Standard,Annual,,,12.84,590,18,0,1,,0,,1905,62.59,travel,
CUST1129,Sameer Khan,India,Uttar Pradesh,Men,1980-03-03,2020-05-08,Paid,2026-05-09,Premium,Annual,,,92.94,2213,12,0,0,,0,,2306,75.76,,
CUST1130,Sana Khan,,Kathmandu,Women,1983-08-01,2023-01-26,Organic,2024-01-27,Standard,Monthly,,,15.48,263,19,0,0,,0,,1313,43.14,,
CUST1131,Manav Singh,India,Karnataka,Female,1980-12-09,2022-11-22,Referral,2023-11-23,Standard,Monthly,2024-01-07,Poor streaming quality,8.35,245,84,1,2,26.2,0,2023-12-17,1378,45.27,,
CUST1132,Aditya Shaikh,India,Maharashtra,Women,1977-06-12,2023-04-02,Paid,2026-04-02,Standard,Monthly,,,13.94,903,52,0,0,,0,,1247,40.97,,
CUST1133,Sameer Nair,India,Delhi,Female,1988-01-10,2023-06-14,Organic,2025-06-14,Standard,Monthly,,,12.39,728,55,0,0,,0,,1174,38.57,job,
CUST1134,Varun Sharma,India,Meghalaya,Female,1994-06-22,2022-06-04,Referral,2024-06-04,Basic,Monthly,2024-08-10,Switched to competitor,12.76,177,82,1,0,25.65,0,2024-07-07,1549,50.89,,
CUST1135,Aarav Patel,India,Nagaland,Male,1999-07-06,2019-09-20,Paid,2025-09-20,Premium,Annual,,,21.09,1699,6,0,0,,0,,2537,83.35,,
CUST1136,Rohan Gupta,India,Uttar Pradesh,Men,1979-10-15,2019-10-23,Paid,2025-10-23,Premium,Annual,,,102.17,1906,12,0,0,,0,,2504,82.27,,
CUST1137,Nikhil Khan,India,Karnataka,Male,1994-01-12,2020-04-02,Paid,2024-04-02,Premium,Annual,2024-05-12,Switched to competitor,13.53,1320,89,1,2,18.55,0,2024-04-29,2342,76.94,,
CUST1138,Priya Gupta,India,Meghalaya,Female,1995-01-02,2022-06-27,Organic,2024-06-26,Premium,Annual,,,18.75,526,67,0,0,,0,,1526,50.14,,
CUST1139,Kavya Khan,Nepal,Kathmandu,Male,1994-01-24,2021-10-27,Organic,2024-10-27,Basic,Annual,,,7.59,348,52,0,0,,0,,1769,58.12,,
CUST1140,Sana Nair,India,Meghalaya,Female,1992-05-03,2021-12-21,Organic,2023-12-21,Premium,Annual,,,23.41,482,52,0,0,,0,,1714,56.31,,
CUST1141,Rohan Reddy,India,Karnataka,Male,1995-09-03,2020-09-14,Paid,2024-09-14,Premium,Annual,2024-10-24,Switched to competitor,13.72,1314,95,1,2,37.88,0,2024-10-11,2177,71.52,,
CUST1142,Varun Khan,India,Maharashtra,Men,1998-01-04,2021-08-11,Organic,2025-08-11,Premium,Annual,,,24.95,1751,16,0,2,,0,,1846,60.65,,
CUST1143,Priya Patel,India,Rajasthan,Female,2000-02-14,2021-09-13,Paid,2025-09-13,Standard,Annual,,,15.48,780,24,0,2,,0,,1813,59.56,,
CUST1144,Aarav Reddy,India,Rajasthan,Female,2001-04-12,2021-03-14,Paid,2025-03-14,Standard,Annual,,,13.47,955,27,0,0,,0,,1996,65.58,,
CUST1145,Varun Patel,,Delhi,Women,1988-05-15,2022-06-30,Paid,2025-06-30,Standard,Annual,,,19.94,649,24,0,0,88.01,0,2025-03-30,1523,50.04,,
CUST1146,Rahul Yadav,India,Nagaland,Male,2003-01-04,2019-07-05,Paid,2025-07-05,Premium,Annual,,,25.09,1748,3,0,0,,0,,2614,85.88,,
